X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
,,"375421025",way,21.875,clinic,clinic,Lydia Dialysis Centre,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,Half Way Tree Road,,Kingston,96221733,4,2020/12/22 00:20:13+00,3c3e873d3ddb417c92143b4a21344a81
,,"374971512",way,15.625,pharmacy,pharmacy,Island Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,94775054,3,2020/11/25 12:37:55+00,35912db4fa354bff8f632f2499f2498b
-77.411772556645,18.0348223448757,"3766354392",node,9.375,pharmacy,,Wholelife Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,34357317,1,2015/09/30 22:19:47+00,0a258a44ef264454a41c04b9237bc783
-77.5092617180849,18.0380701647174,"2688149119",node,12.5,pharmacy,pharmacy,Bravo Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,130047123,2,2022/12/13 19:00:14+00,f29ed05cb50946c3b67fdca3e7b60423
,,"374517166",way,15.625,pharmacy,pharmacy,St Bess Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,156625262,5,2024/09/14 19:28:19+00,6f144be501754e88a735c413e7eeb8e8
-77.5666814428609,18.0235734955407,"2641583981",node,21.875,hospital,hospital,Lincoln Health Centre,,,,,,,,,,,,,yes,,,,,,,,Lincoln-Fairfield Main Road,,Mandeville,92301116,3,2020/10/11 12:59:04+00,d391884e8d8a4fdbbb6c8d9cd6ae0338
,,"375992664",way,31.25,doctors,doctor,Heart Foundation,,KG Ground Survey 2015,cardiology,,,"Mo-Th 08:00-16:00; Fr 08:00-15:00",,,,,,,,,,,,,,"28",Beechwood Avenue,,Kingston,157438636,2,2024/10/03 22:16:48+00,3fc7059d58e445c7aafdf880acc481e2
,,"374472966",way,15.625,pharmacy,pharmacy,The New Sav-la-mar Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,130047056,2,2022/12/13 18:58:00+00,ded9d90a43ea4c6ea7cc312dba029826
,,"375000510",way,15.625,pharmacy,pharmacy,Everybody's Pharmacy,,KG Ground Survey 2015,,,,,,,,,,,,,,,,,,,,,,96221968,2,2020/12/22 00:38:53+00,c9bb695b1c774654932eb3c4ddff5323
-76.8954412023672,17.9632476811155,"5091682334",node,12.5,pharmacy,,LiveWell Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,123620681,2,2022/07/14 18:17:54+00,27ac5b0612994a12a1eeb4a8a45b51c8
-77.9387914242023,18.458638861971,"9698157244",node,18.75,dentist,dentist,General & Cosmetic Dentistry,Dr. David G. McLeggan,,"general;cosmetic",,,,,,,,,,,,,,,,,,,,,120266304,1,2022/04/27 15:51:03+00,0b73c6ffe3fa46b79c1a0c36b12f6f9a
